1.2722	0
1.779	0
0.21879	0
1.239	0
0.99845	0
2.4022	0
0.1677	0
1.1921	0
1.2314	1.2375
0.98243	1.2305
-0.36055	-0.30322
6.9514	4.4506
-128.65	-68.289
1115.9	68.639
-4078.6	8763.4
-3511.2	-1.0893e+05
81005	6.3911e+05
-2.4904e+05	-2.0692e+06
2.2602e+05	3.5452e+06
85265	-2.5e+06
4.4857	6.1122
-147.1	-191.09
2290.9	3104.3
-19211	-22834
87738	53450
-1.8923e+05	2.0572e+05
72704	-1.1753e+06
2.1834e+05	8.3559e+05
50443	2.112e+06
-45.667	-159.59
1327.5	4020.3
-13625	-41679
86896	2.8436e+05
-3.9033e+05	-1.1494e+06
9.9164e+05	7.9411e+05
-5.2332e+05	1.0079e+07
-1.7093e+06	-2.3085e+07
46.975	1674.1
-4771.9	-46536
38609	3.246e+05
-97474	-1.2272e+06
2.1608e+05	5.9896e+06
-1.6945e+06	-2.5991e+07
4.3612e+06	4.2223e+07
2466.1	-15.462
-5605.1	2.9738e+05
-44135	-1.8612e+06
-6858.5	1.9193e+06
1.4275e+06	1.1446e+07
-3.889e+06	-2.2252e+07
-20914	-1.6934e+05
1.0893e+05	-8.7329e+05
-1.0768e+05	7.184e+06
-3.3336e+05	-1.4408e+07
1.4738e+06	3.7959e+06
79295	1.7435e+06
-3.8198e+05	-74078
4.4141e+05	-1.1094e+07
-7.021e+05	1.6185e+07
-1.5217e+05	-8.3817e+06
6.1241e+05	5.9111e+06
-1.1022e+05	5.1359e+06
1.2507e+05	2.0306e+07
-4.3358e+05	-9.3486e+06
-12666	-1.9945e+07
